Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1893,-.81,-.57,-.22,-.27,-.33,-.25,-.13,-.24,-.22,-.18,-.18,-.31,-.31,-.32,-.59,-.28,-.21,-.19
1894,-.52,-.29,-.23,-.45,-.30,-.40,-.23,-.23,-.28,-.23,-.25,-.21,-.30,-.31,-.37,-.33,-.29,-.25
1895,-.41,-.42,-.33,-.21,-.27,-.21,-.17,-.17,-.13,-.11,-.17,-.14,-.23,-.23,-.34,-.27,-.18,-.13
1896,-.22,-.12,-.26,-.30,-.16,-.11,-.02,-.05,-.07,.06,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.03,-.02,-.12,-.03,-.09,-.09,-.12,-.18,-.19,-.11,-.10,-.12,-.06,-.08,-.13
1898,-.02,-.30,-.50,-.30,-.30,-.19,-.21,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.18,-.17,-.26,-.26,-.18,.01
1900,-.35,-.05,.01,-.09,-.09,-.10,-.13,-.09,-.05,.10,-.06,-.06,-.08,-.10,-.22,-.06,-.10,.00
1901,-.21,-.10,.07,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.18,-.27,-.15,-.14,-.13,-.03,-.16,-.23
1902,-.18,-.06,-.28,-.28,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.41,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.06,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.51,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.64,-.58,-.48,-.50,-.51,-.48,-.51,-.49,-.56,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.35,-.59,-.22,-.34,-.30,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.19,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.35,-.23,-.46,-.46,-.39,-.36,-.36,-.37,-.37,-.35
1908,-.44,-.33,-.55,-.44,-.38,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.43,-.41,-.46,-.40,-.44
1909,-.72,-.46,-.55,-.59,-.54,-.52,-.45,-.33,-.39,-.39,-.31,-.56,-.48,-.48,-.56,-.56,-.43,-.36
1910,-.41,-.42,-.51,-.43,-.34,-.39,-.35,-.37,-.39,-.41,-.55,-.67,-.44,-.43,-.46,-.42,-.37,-.45
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.20,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.43,-.39,-.44,-.45,-.36,-.34,-.35,-.32,-.19,-.02,-.34,-.38,-.43,-.42,-.38,-.29
1914,.05,-.09,-.24,-.29,-.21,-.26,-.23,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.20,-.03,-.10,.06,-.06,-.22,-.12,-.22,-.21,-.24,-.13,-.22,-.14,-.12,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.58,-.63,-.63,-.55,-.55,-.44,-.25,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.25,-.44,-.43,-.36,-.32,-.31,-.17,-.06,-.11,-.29,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.13,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.25,-.27,-.12,-.24,-.27,-.36,-.30,-.27,-.22,-.27,-.27,-.46,-.28,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.23,-.30,-.31,-.28,-.15,-.26,-.19,-.04,-.14,-.18,-.19,-.22,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.33,-.36,-.33,-.15,-.19,-.29,-.29,-.32,-.24,-.31,-.28
1923,-.28,-.39,-.34,-.41,-.34,-.30,-.31,-.33,-.31,-.14,-.02,-.05,-.27,-.28,-.29,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.39,-.40,-.28,-.26,-.29,-.33,-.27,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.03,.11,-.12,-.24,-.26,-.28,-.13,-.14,-.11,-.07,-.30,-.11,-.08,.10,-.08,-.22,-.11
1927,-.28,-.18,-.39,-.31,-.25,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.23,-.07
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.23,-.22,-.19,-.09,-.17,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.58,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.14,-.11,-.54,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.18,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.11,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.18,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.02,-.14,-.25,-.16
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.45,-.29,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.10,-.15,-.10,-.12,-.15,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.12,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.21,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-.27,-.23,-.18
1936,-.27,-.38,-.21,-.20,-.16,-.22,-.10,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.03,.01,.09,.09,.09,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.08,.04,.10,.06,-.09,-.17,-.09,-.06,.00,.15,.08,-.12,.00,.00,.02,.02,-.11,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.05,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.11,.12,.07,.15,.12,.17,.32,.13,.14,.17,.13,.10,.15
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
1942,.29,.02,.05,.09,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.07,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.19,.15,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.06,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.28,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.12,.12,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.14,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.07,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,-.01,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.13,-.18,-.15,-.09,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.11,-.07,.00,-.07
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.08,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.02,-.04,.06
1971,-.02,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.22,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.07,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.27
1980,.30,.40,.30,.30,.35,.21,.22,.18,.20,.13,.30,.22,.26,.28,.39,.31,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.16,.03,.15,.18,.06,.14,.04,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.34,.23,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.18,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.16,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.25,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.52,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.15,.34,.33,.35,.29,.19,.37,.27,.27,.24,.27,.27,.28
1990,.41,.44,.80,.56,.45,.38,.46,.34,.23,.45,.47,.41,.45,.45,.41,.61,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32,.41,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.26,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.03,.29,.41,.28,.44,.30,.22,.32,.42,.44,.38,.32,.30,.16,.33,.32,.40
1995,.52,.80,.47,.47,.27,.43,.45,.45,.34,.47,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.33,.32,.28,.25,.36,.48,.25,.20,.39,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.34,.34,.54,.33,.42,.52,.61,.65,.59,.46,.45,.36,.40,.43,.59
1998,.59,.88,.63,.63,.68,.77,.66,.66,.42,.42,.43,.55,.61,.61,.68,.65,.70,.42
1999,.49,.64,.32,.32,.27,.36,.38,.32,.39,.34,.38,.42,.38,.40,.56,.30,.35,.37
2000,.25,.56,.55,.56,.36,.40,.39,.42,.38,.28,.31,.29,.40,.41,.41,.49,.40,.32
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.40,.55,.54,.59
2002,.77,.79,.88,.58,.64,.53,.61,.54,.63,.54,.59,.44,.63,.64,.71,.70,.56,.59
2003,.75,.58,.60,.55,.61,.48,.58,.65,.62,.73,.53,.75,.62,.59,.59,.59,.57,.63
2004,.58,.73,.63,.61,.38,.44,.26,.47,.50,.61,.73,.51,.54,.56,.69,.54,.39,.61
2005,.74,.60,.74,.68,.63,.65,.62,.61,.71,.75,.74,.68,.68,.66,.62,.68,.62,.73
2006,.56,.73,.63,.48,.49,.66,.54,.71,.65,.70,.74,.79,.64,.63,.66,.53,.63,.69
2007,1.02,.70,.73,.76,.69,.61,.60,.59,.60,.58,.59,.50,.67,.69,.84,.73,.60,.59
2008,.31,.38,.75,.54,.49,.49,.60,.47,.61,.67,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.53,.54,.61,.65,.65,.74,.68,.73,.65,.81,.68,.66,.65,.57,.60,.69,.73
2010,.75,.84,.92,.85,.75,.67,.63,.67,.63,.71,.82,.45,.72,.74,.76,.84,.66,.72
2011,.52,.48,.66,.65,.53,.62,.70,.74,.57,.66,.58,.61,.61,.60,.48,.61,.69,.60
2012,.49,.49,.58,.72,.79,.64,.58,.63,.72,.79,.78,.53,.65,.65,.53,.70,.62,.76
2013,.70,.62,.67,.54,.61,.69,.60,.70,.77,.69,.84,.70,.68,.66,.62,.61,.66,.77
2014,.76,.55,.78,.80,.86,.67,.58,.82,.88,.81,.67,.79,.75,.74,.67,.81,.69,.78
2015,.85,.91,.96,.76,.80,.81,.73,.81,.85,1.09,1.06,1.16,.90,.87,.85,.84,.78,1.00
2016,1.17,1.37,1.36,1.11,.95,.80,.85,1.01,.91,.88,.91,.86,1.02,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.17,.95,.91,.72,.82,.87,.77,.90,.88,.94,.92,.92,1.01,1.01,.80,.85
2018,.81,.85,.89,.89,.83,.78,.83,.76,.80,1.02,.83,.92,.85,.85,.86,.87,.79,.88
2019,.93,.95,1.17,1.01,.85,.91,.94,.94,.92,1.01,1.00,1.10,.98,.96,.93,1.01,.93,.98
2020,1.17,1.24,1.18,1.14,1.02,.92,.91,.87,.99,.89,1.11,.81,1.02,1.04,1.17,1.11,.90,.99
2021,.81,.64,.89,.76,.79,.85,.92,***,***,***,***,***,***,***,.76,.81,***,***
