날짜,요일,인원,데이터기준일자
2018-06-20,수,1137,2021-08-27
2018-06-21,목,2371,2021-08-27
2018-06-22,금,586,2021-08-27
2018-06-23,토,2571,2021-08-27
2018-06-24,일,2835,2021-08-27
2018-06-25,월,528,2021-08-27
2018-06-26,화,524,2021-08-27
2018-06-27,수,947,2021-08-27
2018-06-28,목,425,2021-08-27
2018-06-29,금,446,2021-08-27
2018-06-30,토,1042,2021-08-27
2018-07-01,일,1327,2021-08-27
2018-07-02,월,308,2021-08-27
2018-07-03,화,340,2021-08-27
2018-07-04,수,378,2021-08-27
2018-07-05,목,347,2021-08-27
2018-07-06,금,629,2021-08-27
2018-07-07,토,2327,2021-08-27
2018-07-08,일,2896,2021-08-27
2018-07-09,월,516,2021-08-27
2018-07-10,화,838,2021-08-27
2018-07-11,수,410,2021-08-27
2018-07-12,목,611,2021-08-27
2018-07-13,금,700,2021-08-27
2018-07-14,토,1318,2021-08-27
2018-07-15,일,1364,2021-08-27
2018-07-16,월,366,2021-08-27
2018-07-17,화,495,2021-08-27
2018-07-18,수,387,2021-08-27
2018-07-19,목,527,2021-08-27
2018-07-20,금,563,2021-08-27
2018-07-21,토,1052,2021-08-27
2018-07-22,일,1884,2021-08-27
2018-07-23,월,685,2021-08-27
2018-07-24,화,588,2021-08-27
2018-07-25,수,595,2021-08-27
2018-07-26,목,820,2021-08-27
2018-07-27,금,1006,2021-08-27
2018-07-28,토,1777,2021-08-27
2018-07-29,일,2339,2021-08-27
2018-07-30,월,2264,2021-08-27
2018-07-31,화,2114,2021-08-27
2018-08-01,수,1944,2021-08-27
2018-08-02,목,3076,2021-08-27
2018-08-03,금,3541,2021-08-27
2018-08-04,토,2986,2021-08-27
2018-08-05,일,3627,2021-08-27
2018-08-06,월,2640,2021-08-27
2018-08-07,화,1305,2021-08-27
2018-08-08,수,1996,2021-08-27
2018-08-09,목,1168,2021-08-27
2018-08-10,금,1464,2021-08-27
2018-08-11,토,2828,2021-08-27
2018-08-12,일,3731,2021-08-27
2018-08-13,월,1179,2021-08-27
2018-08-14,화,1269,2021-08-27
2018-08-15,수,2147,2021-08-27
2018-08-16,목,1726,2021-08-27
2018-08-17,금,4188,2021-08-27
2018-08-18,토,2301,2021-08-27
2018-08-19,일,3889,2021-08-27
2018-08-20,월,1670,2021-08-27
2018-08-21,화,1110,2021-08-27
2018-08-22,수,847,2021-08-27
2018-08-23,목,574,2021-08-27
2018-08-24,금,475,2021-08-27
2018-08-25,토,2667,2021-08-27
2018-08-26,일,1050,2021-08-27
2018-08-27,월,712,2021-08-27
2018-08-28,화,979,2021-08-27
2018-08-29,수,825,2021-08-27
2018-08-30,목,750,2021-08-27
2018-08-31,금,646,2021-08-27
2018-09-01,토,2891,2021-08-27
2018-09-02,일,2444,2021-08-27
2018-09-03,월,1194,2021-08-27
2018-09-04,화,987,2021-08-27
2018-09-05,수,1209,2021-08-27
2018-09-06,목,1305,2021-08-27
2018-09-07,금,1302,2021-08-27
2018-09-08,토,2690,2021-08-27
2018-09-09,일,2869,2021-08-27
2018-09-10,월,942,2021-08-27
2018-09-11,화,1932,2021-08-27
2018-09-12,수,994,2021-08-27
2018-09-13,목,845,2021-08-27
2018-09-14,금,709,2021-08-27
2018-09-15,토,1743,2021-08-27
2018-09-16,일,2085,2021-08-27
2018-09-17,월,1134,2021-08-27
2018-09-18,화,1069,2021-08-27
2018-09-19,수,2085,2021-08-27
2018-09-20,목,1074,2021-08-27
2018-09-21,금,1329,2021-08-27
2018-09-22,토,7003,2021-08-27
2018-09-23,일,29408,2021-08-27
2018-09-24,월,48839,2021-08-27
2018-09-25,화,87576,2021-08-27
2018-09-26,수,14717,2021-08-27
