날짜,요일,인원,데이터기준일자
2019-12-16,월,"1,035",2021-08-27
2019-12-17,화,832,2021-08-27
2019-12-18,수,719,2021-08-27
2019-12-19,목,813,2021-08-27
2019-12-20,금,842,2021-08-27
2019-12-21,토,"1,884",2021-08-27
2019-12-22,일,"1,681",2021-08-27
2019-12-23,월,836,2021-08-27
2019-12-24,화,921,2021-08-27
2019-12-25,수,"2,194",2021-08-27
2019-12-26,목,972,2021-08-27
2019-12-27,금,931,2021-08-27
2019-12-28,토,"2,585",2021-08-27
2019-12-29,일,"2,116",2021-08-27
2019-12-30,월,"1,214",2021-08-27
2019-12-31,화,"1,114",2021-08-27
2020-01-01,수,"1,997",2021-08-27
2020-01-02,목,999,2021-08-27
2020-01-03,금,834,2021-08-27
2020-01-04,토,"1,485",2021-08-27
2020-01-05,일,"2,028",2021-08-27
2020-01-06,월,338,2021-08-27
2020-01-07,화,271,2021-08-27
2020-01-08,수,243,2021-08-27
2020-01-09,목,722,2021-08-27
2020-01-10,금,576,2021-08-27
2020-01-11,토,"1,450",2021-08-27
2020-01-12,일,"1,559",2021-08-27
2020-01-13,월,751,2021-08-27
2020-01-14,화,645,2021-08-27
2020-01-15,수,"1,137",2021-08-27
2020-01-16,목,839,2021-08-27
2020-01-17,금,660,2021-08-27
2020-01-18,토,"1,786",2021-08-27
2020-01-19,일,"1,433",2021-08-27
2020-01-20,월,369,2021-08-27
2020-01-21,화,454,2021-08-27
2020-01-22,수,232,2021-08-27
2020-01-23,목,753,2021-08-27
2020-01-24,금,"3,293",2021-08-27
2020-01-25,토,"6,245",2021-08-27
2020-01-26,일,"6,377",2021-08-27
2020-01-27,월,709,2021-08-27
2020-01-28,화,570,2021-08-27
2020-01-29,수,786,2021-08-27
2020-01-30,목,777,2021-08-27
2020-01-31,금,868,2021-08-27
2020-02-01,토,"1,659",2021-08-27
2020-02-02,일,"1,470",2021-08-27
2020-02-03,월,708,2021-08-27
2020-02-04,화,673,2021-08-27
2020-02-05,수,273,2021-08-27
2020-02-06,목,269,2021-08-27
2020-02-07,금,390,2021-08-27
2020-02-08,토,"1,234",2021-08-27
2020-02-09,일,"1,615",2021-08-27
2020-02-10,월,425,2021-08-27
2020-02-11,화,635,2021-08-27
2020-02-12,수,250,2021-08-27
2020-02-13,목,448,2021-08-27
2020-02-14,금,634,2021-08-27
2020-02-15,토,"1,723",2021-08-27
2020-02-16,일,"1,025",2021-08-27
2020-02-17,월,388,2021-08-27
2020-02-18,화,892,2021-08-27
2020-02-19,수,861,2021-08-27
2020-02-20,목,518,2021-08-27
2020-02-21,금,493,2021-08-27
2020-02-22,토,"1,101",2021-08-27
2020-02-23,일,"1,026",2021-08-27
2020-02-24,월,626,2021-08-27
2020-02-25,화,133,2021-08-27
2020-02-26,수,262,2021-08-27
2020-02-27,목,653,2021-08-27
2020-02-28,금,467,2021-08-27
2020-02-29,토,"1,016",2021-08-27
2020-03-01,일,"1,028",2021-08-27
2020-03-02,월,534,2021-08-27
2020-03-03,화,317,2021-08-27
2020-03-04,수,244,2021-08-27
2020-03-05,목,595,2021-08-27
2020-03-06,금,392,2021-08-27
2020-03-07,토,346,2021-08-27
2020-03-08,일,"1,933",2021-08-27
2020-03-09,월,532,2021-08-27
2020-03-10,화,200,2021-08-27
2020-03-11,수,494,2021-08-27
2020-03-12,목,"1,089",2021-08-27
2020-03-13,금,"1,039",2021-08-27
2020-03-14,토,"2,354",2021-08-27
2020-03-15,일,"2,058",2021-08-27
2020-03-16,월,923,2021-08-27
2020-03-17,화,956,2021-08-27
2020-03-18,수,"1,431",2021-08-27
2020-03-19,목,730,2021-08-27
2020-03-20,금,"1,302",2021-08-27
2020-03-21,토,"3,312",2021-08-27
2020-03-22,일,"3,422",2021-08-27
2020-03-23,월,"1,105",2021-08-27
2020-03-24,화,"1,247",2021-08-27
2020-03-25,수,"1,135",2021-08-27
2020-03-26,목,677,2021-08-27
2020-03-27,금,743,2021-08-27
2020-03-28,토,"2,259",2021-08-27
2020-03-29,일,"2,891",2021-08-27
2020-03-30,월,818,2021-08-27
2020-03-31,화,"1,434",2021-08-27
2020-04-01,수,"1,184",2021-08-27
2020-04-02,목,"1,407",2021-08-27
2020-04-03,금,"1,915",2021-08-27
2020-04-04,토,"3,181",2021-08-27
2020-04-05,일,"2,895",2021-08-27
2020-04-06,월,989,2021-08-27
2020-04-07,화,"1,117",2021-08-27
2020-04-08,수,951,2021-08-27
2020-04-09,목,"1,024",2021-08-27
2020-04-10,금,"1,084",2021-08-27
2020-04-11,토,"1,495",2021-08-27
2020-04-12,일,"1,695",2021-08-27
2020-04-13,월,901,2021-08-27
2020-04-14,화,"1,141",2021-08-27
2020-04-15,수,"2,323",2021-08-27
2020-04-16,목,"1,010",2021-08-27
2020-04-17,금,804,2021-08-27
2020-04-18,토,"2,072",2021-08-27
2020-04-19,일,"1,179",2021-08-27
2020-04-20,월,732,2021-08-27
2020-04-21,화,761,2021-08-27
2020-04-22,수,519,2021-08-27
2020-04-23,목,692,2021-08-27
2020-04-24,금,"1,009",2021-08-27
2020-04-25,토,"2,991",2021-08-27
2020-04-26,일,"3,517",2021-08-27
2020-04-27,월,"1,056",2021-08-27
2020-04-28,화,"1,079",2021-08-27
2020-04-29,수,"1,378",2021-08-27
2020-04-30,목,"6,606",2021-08-27
2020-05-01,금,"7,523",2021-08-27
2020-05-02,토,"7,308",2021-08-27
2020-05-03,일,"4,382",2021-08-27
2020-05-04,월,"2,805",2021-08-27
2020-05-05,화,"4,216",2021-08-27
2020-05-06,수,"6,518",2021-08-27
2020-05-07,목,"1,184",2021-08-27
2020-05-08,금,"1,242",2021-08-27
2020-05-09,토,"1,501",2021-08-27
2020-05-10,일,"3,028",2021-08-27
2020-05-11,월,"1,163",2021-08-27
2020-05-12,화,"1,160",2021-08-27
2020-05-13,수,"1,763",2021-08-27
2020-05-14,목,"1,213",2021-08-27
2020-05-15,금,860,2021-08-27
2020-05-16,토,"3,806",2021-08-27
2020-05-17,일,"7,921",2021-08-27
2020-05-18,월,978,2021-08-27
2020-05-19,화,857,2021-08-27
2020-05-20,수,"1,306",2021-08-27
2020-05-21,목,"1,422",2021-08-27
2020-05-22,금,"1,359",2021-08-27
2020-05-23,토,"3,891",2021-08-27
2020-05-24,일,"2,906",2021-08-27
2020-05-25,월,"1,218",2021-08-27
2020-05-26,화,"1,155",2021-08-27
2020-05-27,수,"1,108",2021-08-27
2020-05-28,목,"1,161",2021-08-27
2020-05-29,금,"1,383",2021-08-27
2020-05-30,토,"4,059",2021-08-27
2020-05-31,일,"3,197",2021-08-27
2020-06-01,월,"1,087",2021-08-27
2020-06-02,화,"1,090",2021-08-27
2020-06-03,수,963,2021-08-27
2020-06-04,목,"1,162",2021-08-27
2020-06-05,금,"1,539",2021-08-27
2020-06-06,토,"3,693",2021-08-27
2020-06-07,일,"3,439",2021-08-27
2020-06-08,월,"1,076",2021-08-27
2020-06-09,화,"1,128",2021-08-27
2020-06-10,수,951,2021-08-27
2020-06-11,목,977,2021-08-27
2020-06-12,금,"1,480",2021-08-27
2020-06-13,토,"2,185",2021-08-27
2020-06-14,일,"2,648",2021-08-27
2020-06-15,월,"1,056",2021-08-27
2020-06-16,화,"1,754",2021-08-27
2020-06-17,수,"1,965",2021-08-27
2020-06-18,목,"1,029",2021-08-27
2020-06-19,금,"2,858",2021-08-27
2020-06-20,토,"4,625",2021-08-27
2020-06-21,일,"3,754",2021-08-27
2020-06-22,월,"1,341",2021-08-27
2020-06-23,화,"1,249",2021-08-27
2020-06-24,수,960,2021-08-27
2020-06-25,목,894,2021-08-27
2020-06-26,금,"1,614",2021-08-27
2020-06-27,토,"3,576",2021-08-27
2020-06-28,일,"3,015",2021-08-27
2020-06-29,월,"1,091",2021-08-27
2020-06-30,화,"1,058",2021-08-27
2020-07-01,수,439,2021-08-27
2020-07-02,목,"1,351",2021-08-27
2020-07-03,금,"1,583",2021-08-27
2020-07-04,토,"3,272",2021-08-27
2020-07-05,일,"3,021",2021-08-27
2020-07-06,월,"1,339",2021-08-27
2020-07-07,화,"1,465",2021-08-27
2020-07-08,수,372,2021-08-27
2020-07-09,목,"1,809",2021-08-27
2020-07-10,금,"1,536",2021-08-27
2020-07-11,토,"2,688",2021-08-27
2020-07-12,일,"1,810",2021-08-27
2020-07-13,월,"1,144",2021-08-27
2020-07-14,화,861,2021-08-27
2020-07-15,수,"1,518",2021-08-27
2020-07-16,목,"1,499",2021-08-27
2020-07-17,금,"1,938",2021-08-27
2020-07-18,토,"3,826",2021-08-27
2020-07-19,일,"2,695",2021-08-27
2020-07-20,월,"1,122",2021-08-27
2020-07-21,화,"1,360",2021-08-27
2020-07-22,수,930,2021-08-27
2020-07-23,목,984,2021-08-27
2020-07-24,금,"1,295",2021-08-27
2020-07-25,토,"2,638",2021-08-27
2020-07-26,일,"3,649",2021-08-27
2020-07-27,월,"1,444",2021-08-27
2020-07-28,화,"1,507",2021-08-27
2020-07-29,수,"1,368",2021-08-27
2020-07-30,목,745,2021-08-27
2020-07-31,금,"2,356",2021-08-27
