전시회 개최년도,전시회 한글명,전시회 영문 약칭명,전시회 영문명 전체명 ,전시회 분류,전시회 개최주기,전시회 개최국가,전시회 개최도시,전시회 개최건물,전시 분야,전시 품목,전시회 시작일,전시회 종료일,총 참가국 수,총 참가업체,참가규모 부스 수,참가규모 업체 수,국내참가 기업수,한국참가 주관단체명,한국참가 주관단체 주소,전시회 모집기간 시작일,전시회 모집기간 종료 일
2017,2017 홍콩 춘계 글로벌소시스 모바일 전자전 (춘계),GSME,2017 Global Sources Mobile Electronics Show - April,기타,매년,홍콩,홍콩,아시아 월드 엑스포,통신기기 및 주변 제품 일체,"통신 주변기기, 모바일 액세서리, 블루투스 및 무선충전기 관련 제품",2017-04-18,2017-04-21,19,1813,11,10,40,한국정보기술연구원,"서울 구로구 디지털로34길, 43 코오롱싸이언스밸리1차 401호",2017-01-09,2017-03-31
2017,2018 미국 라스베가스 프로젝트 국제 패션박람회(춘계),Project Las Vegas S/S,PROJECT - Contemporary Apparel and Accessories for Men and Women,기타,연2회,미국,라스베가스,Mandalay Bay Convention Center,패션,여성복. 가방. 스카프. 쥬얼리. 선글라스. 모자 등,2018-02-13,2018-02-15,25,1800,21,20,11,(사)한국패션소재협회,서울 강남구 도곡2동466∼467 우성리빙텔 301호,2017-09-04,2018-01-31
2017,동경 소프트웨어 개발 환경전,SODEC,Software & Apps Development Expo,기타,연2회,일본,동경,Tokyo Big Sight,소프트웨어,"응용 프로그램 개발 도구, 리버스 엔지니어링 도구, 테스트/디버깅/튜닝 도구, 발전기, 소프트웨어 부품/라이브러리, 자바 기반 개발 툴, 액티브 X 기반 개발 툴, UML 도구, 구성 관리 도구, GUI 개발 도구, 데이터베이스 연결 도구, 응용 프로그램 서버, 리눅스 호환 개발 툴, CORBA 기반 개발 툴, CASE 도구, 문서 개발 툴, 비주얼 프로그래밍 도구, 영업 관리/지원 도구, 웹 협동 조합 도구, 객체 지향 개발 도구, 웹 기반 개발 툴, XML도구, 개발 언어, 기타 개발 도구/제품 및 소프트웨어 솔루션 전반",2017-05-10,2017-05-12,18,1495,10,9,1091,한국소프트웨어산업협회,서울시 송파구 송파대로 135 IT벤처타워 서관 12층,2017-02-01,2017-02-15
2017,2017 중국 상해 국제 보석 전시회,2017 Shanghai Jewelry Fair,2017 Shanghai International Jewelry Fair,기타,매년,중국,상해,중국상해세박전람관,"보석, 준보석, 14/18K/실버 주얼리","보석, 준보석, 14/18K 주얼리, 실버제품, 나석, 다이아몬드 등등",2017-05-10,2017-05-14,35,4200,42,38,42,주얼리 중국수출 협동 조합,서울시 중구 남대문시장길2  은남빌딩 505호,2017-04-01,2017-05-22
2017,2017 중국 상하이 제111회 중국 문구전시회,Meeting China 2017,China Stationery Fair 2017,기타,매년,중국,상하이,Shanghai New International Expo Centre,사무자동화기기. 사무용품. 학용품. 선물용품. 필기류. 지류. 디자인용품,필기구. 노트. 다이어리. 포장지. 프린터액세서리. 마커. 파스텔 등,2017-06-07,2017-06-09,10,800,12,11,25,한국문구공업협동조합,서울특별시 중구 동호로 292,2017-03-01,2017-04-28
2017,2017 독일 슈투트가르트 금형전시회,MOULDING EXPO 2017,"nternational Trade Fair for Tool, Pattern and Mould Making",기타,격년,독일,슈투트가르트,Stuttgart Messe,기계 금속,"패턴 및 금형제작, 금형가공 공작기계, 금형제작 관련 부품 및 소모품, 금형제작 임가공 등 서비스, CAD/ CAM/CAE, 3D프린팅 및 첨가가공시스템 등 금형관련 산업분야 총 망라",2017-05-30,2017-06-02,25,620,12,12,14,한국금형공업협동조합,서울 금천구 독산동 287-2번지 금형회관 6층,2017-01-01,2017-03-31
2017,"2017년 라스베가스 건설기계, 콘크리트 및 광산기계 전시회",CONEXPO-CON/AGG 2017,CONEXPO-CON/AGG 2017,기타,기타,미국,라스베가스,라스베가스 컨벤션 센터,기계,"건설기계, 건설기계 및 어태치먼트",2017-03-07,2017-03-11,160,2200,42,20,20,한국건설기계산업협회,경기도 성남시 분당구 금곡동 35,2017-01-03,2017-03-31
2017,2018 홍콩 국제 문구전시회,H.K. Int'l Stationery Fair 2018,Hong Kong International Stationery Fair 2018,기타,매년,홍콩,홍콩,Hong Kong Convention and Exhibition Center,"사무용품, 학용품, 선물용품, 디자인용품, 캐릭터용품, 유아용품, 캐릭터라이센싱","필기구, 노트, 컴퓨터액세서리, 마커, 파스텔, 캐릭터문구, 유아문구",2018-01-08,2018-01-11,15,238,14,13,22,한국문구공업협동조합,서울특별시 중구 동호로 292,2017-09-01,2017-11-30
2017,2017영국런던화장품원재료산업전시회,in-cosmetics Global 2017,in-cosmetics Global 2017,기타,매년,영국,런던,Excel London,"화장품 원재료, R&D분야","화장품 원재료, 메이크업 원재료, 퍼스널케어, 향료/향수/방향제",2017-04-04,2017-04-06,21,792,13,13,32,대한화장품협회,서울 영등포구 여의도동 금산빌딩  907호,2017-02-20,2017-02-28
2017,2017 인도 방갈로르 건설기계 및 건축기술 전시회,EXCON 2017,9th International Construction Equipment and,기타,격년,인도,방갈로르,Bangalore International Exhibition Centre,건설기계,건설기계 어태치먼트 및 부품,2017-12-12,2017-12-16,20,530,22,15,15,한국건설기계산업협회,경기도 성남시 분당구 금곡동 35,2017-10-02,2017-11-10
